date;user_count;weekly citywide penetration rate;amount of movements;average distance;Modularity;Residential;Radius of Gyration
2020-11-04 00:00:00;2452986;0,036351304;7861915;4,68338288;0,924763406;78,60865451;8,518079184
2020-11-05 00:00:00;2459092;0,03644179;7965807;4,712373012;0,925828455;78,77934564;8,669131422
2020-11-06 00:00:00;2492308;0,036934025;8483373;4,730409584;0,921842274;78,5889165;8,78160525
2020-11-07 00:00:00;2386964;0,03537291;7268800;4,803531443;0,926338393;79,69026161;10,1108206
2020-11-08 00:00:00;2292565;0,033973992;6167041;4,684681939;0,939060299;80,41909223;9,70154749
2020-11-09 00:00:00;2458598;0,036434469;7872487;4,701312949;0,925570761;78,72434662;8,553698307
2020-11-10 00:00:00;2460852;0,036467872;8011229;4,570407232;0,925401851;78,33780365;8,292085017
2020-11-11 00:00:00;2470857;0,036616138;7974049;4,612000848;0,925317543;78,27293655;8,389591527
2020-11-12 00:00:00;2475192;0,036680379;8026626;4,729178977;0,925255523;78,61306511;8,699382159
2020-11-13 00:00:00;2507778;0,037163278;8499001;4,692209818;0,922602148;78,88228461;8,712845673
2020-11-14 00:00:00;2415700;0,035798755;7390607;4,561301913;0,927666688;79,80417837;9,674807443
2020-11-15 00:00:00;2351920;0,034853586;6947619;4,412262423;0,9346358;80,46991882;9,211192362
2020-11-16 00:00:00;2484729;0,03682171;8007617;4,70622544;0,926076458;78,48231244;8,562540792
2020-11-17 00:00:00;2482743;0,036792279;8050641;4,659833414;0,92494505;78,2533655;8,453052145
2020-11-18 00:00:00;2468387;0,036579535;7720530;4,612602993;0,924506263;78,45772752;8,390675387
2020-11-19 00:00:00;2480981;0,036766168;7680915;4,967744902;0,919014679;78,49819542;9,128800823
2020-11-20 00:00:00;2372653;0,035160833;5874869;4,698711078;0,934048623;79,91423835;8,724547941
2020-11-21 00:00:00;2367817;0,035089167;6923474;4,571662771;0,929548517;79,9361177;9,693456988
2020-11-22 00:00:00;2287438;0,033898014;5845880;4,717912684;0,940263275;80,63046556;9,761362831
2020-11-23 00:00:00;2483545;0,036804164;7646254;4,757641741;0,925064985;78,77859965;8,655090135
2020-11-24 00:00:00;2496794;0,037000504;8058379;4,687910265;0,923190493;78,66888417;8,503590477
2020-11-25 00:00:00;2492551;0,036937626;8076269;4,617983314;0,923175303;78,5375192;8,400359965
2020-11-26 00:00:00;2475831;0,036689849;7354212;4,716195136;0,919624991;78,13831826;8,676011246
2020-11-27 00:00:00;2286627;0,033885996;5874869;4,698711078;0,908146908;78,11797614;8,724547941
2020-11-28 00:00:00;2425209;0,035939671;7679657;4,8178156;0,926899119;79,68450047;10,13653208
2020-11-29 00:00:00;2344971;0,034750608;6956588;4,832314283;0,931976493;80,15069302;9,967285709
2020-11-30 00:00:00;2495358;0,036979223;8140780;4,771623998;0,924449777;78,68490174;8,680258196
2020-12-01 00:00:00;2504408;0,037113337;8248589;4,636422964;0,924269062;78,86150938;8,410913336
2020-12-02 00:00:00;2511382;0,037216686;8251095;4,594738695;0,924476033;78,55197421;8,358519652
2020-12-03 00:00:00;2514672;0,037265442;8391252;4,649785547;0,923649652;78,36538991;8,556473985
2020-12-04 00:00:00;2520793;0,03735615;8534221;4,780768989;0,919524572;78,25291268;8,87225218
2020-12-05 00:00:00;2434254;0,036073711;7527381;4,679355524;0,929006471;79,57545603;9,887303943
2020-12-06 00:00:00;2313015;0,034277045;5919397;4,477618981;0,942160056;80,50696132;9,328834166
2020-12-07 00:00:00;2490260;0,036903675;7741998;4,615838016;0,926647979;78,90402952;8,399843429
2020-12-08 00:00:00;2509603;0,037190323;8274618;4,557235069;0,924434652;78,48266984;8,268375124
2020-12-09 00:00:00;2501089;0,037064152;8101963;4,637353646;0,922866941;78,54882788;8,435226562
2020-12-10 00:00:00;2512119;0,037227608;8289491;4,655426916;0,9236495;79,10772655;8,566628449
2020-12-11 00:00:00;2532498;0,037529609;8560693;4,774298701;0,9215869;78,53824813;8,860605661
2020-12-12 00:00:00;2452364;0,036342087;7687741;4,690406301;0,928537299;79,70477535;9,907195342
2020-12-13 00:00:00;2337841;0,034644947;6085970;4,586109721;0,939275228;80,44416807;9,524117497
2020-12-14 00:00:00;2525496;0,037425845;8358560;4,767717169;0,924256917;78,42624015;8,673225905
2020-12-15 00:00:00;2528718;0,037473592;8527707;4,650386723;0,922455184;78,46177775;8,436048101
2020-12-16 00:00:00;2557155;0,037895006;8733743;4,560813512;0,920743489;78,98029603;8,297454321
2020-12-17 00:00:00;2532480;0,037529342;8534488;4,653210699;0,922161136;78,90455972;8,562639259
2020-12-18 00:00:00;2556278;0,037882009;8936660;4,73508265;0,919473213;78,42159331;8,79001677
2020-12-19 00:00:00;2479360;0,036742146;8069543;4,702309474;0,925998417;79,81103511;9,928621053
2020-12-20 00:00:00;2357381;0,034934514;6591633;4,707645882;0,935270675;80,48301851;9,742882588
2020-12-21 00:00:00;2529218;0,037481002;8528697;4,808815143;0,921343749;78,48434285;8,747202258
2020-12-22 00:00:00;2534096;0,03755329;8492554;4,603237015;0,923217927;78,36078753;8,351178626
2020-12-23 00:00:00;2540653;0,037650459;8749585;4,640705226;0,921553468;78,86866008;8,441259406
